序号,网站名称,网站描述,网址,来源
45,Lürzer's Archive,知名杂志广告档案，收集来自世界各地的印刷和电视广告,https://www.luerzersarchive.com/,https://adnodoor.com/nav/
46,Ads of the World,国外超大广告作品库，国内访问速度有点慢,https://www.adsoftheworld.com/,https://adnodoor.com/nav/
47,OSOCIO,专注于线上广告和非营利性质广告,https://osocio.org/,https://adnodoor.com/nav/
48,AdForum,创意行业网站，包含作品、代理商和新闻，目前已有中文界面,https://cn.adforum.com/,https://adnodoor.com/nav/
49,Best ads on TV,以TVC为主，各种媒介的广告都有，类似博客,https://www.bestadsontv.com/,https://adnodoor.com/nav/
50,Ad Age,国外综合类广告资讯网站，有的文章需要付费订阅,https://adage.com/,https://adnodoor.com/nav/
51,FWA,著名的互动多媒体网，展示世界上最优秀、最前沿的网络媒体艺术设计作品,https://thefwa.com/,https://adnodoor.com/nav/
52,Awwwards,最好的网页设计聚合网站,https://www.awwwards.com/,https://adnodoor.com/nav/
53,SWIPE-WORTHY,营销灵感网站，有很多高清扫描的经典报纸广告,http://swiped.co,https://adnodoor.com/nav/
54,adeevee,分类清晰的广告资料库,http://www.adeevee.com,https://adnodoor.com/nav/
55,Advert.ge,精彩广告榜单，有很多优质内容,http://www.advert.ge/,https://adnodoor.com/nav/
56,Shots,收集今天世界上最亮眼的广告创意,https://www.shots.net/,https://adnodoor.com/nav/
57,culturepub,著名广告片收集网站,http://www.culturepub.fr/,https://adnodoor.com/nav/
58,文案狗,寻找谐音的工具，文案慎用,http://wenangou.com/,https://adnodoor.com/nav/
59,文案迷,专注收集广告文案、广告词、广告语的网站,http://www.wenanmi.com/,https://adnodoor.com/nav/
60,自动对对联系统,网友开发的对对联系统，文案慎用,https://ai.binwang.me/couplet/,https://adnodoor.com/nav/
61,Advertising slogan generator,英文广告语生成器,http://www.procato.com/slogan+generator/,https://adnodoor.com/nav/
62,Cloudconvert,万能的在线文件格式转换网站，视频、音频、图片和文档都可以,https://cloudconvert.com/,https://adnodoor.com/nav/
63,Small PDF,关于PDF的大部分功能，压缩、转换、分割、合并等,https://smallpdf.com/,https://adnodoor.com/nav/
64,EZGIF,最好用的在线gif编辑网站，做表情包的神器,https://ezgif.com/,https://adnodoor.com/nav/
65,OCR Maker,免费OCR工具，识别图片中的文字,http://ocrmaker.com/,https://adnodoor.com/nav/
66,PhotoMosh,故障艺术在线生成，可以输出jpg、gif和视频,https://photomosh.com/,https://adnodoor.com/nav/
67,NiceTool+,八百余个实用小工具，解决办公、学习、生活、开发中的一些小问题,http://www.nicetool.net/,https://adnodoor.com/nav/
68,199IT,中文互联网数据中心，提供行业及消费者数据报告,http://www.199it.com/,https://adnodoor.com/nav/
69,CBNData,依托阿里巴巴和第一财经的战略数据平台,https://www.cbndata.com/,https://adnodoor.com/nav/
70, Trustdata,移动互联网大数据监测平台，提供专业的移动端各领域数据产品、咨询等服务,http://itrustdata.com,https://adnodoor.com/nav/
71,阿里数据,阿里旗下的大数据研究平台,https://dt.alibaba.com,https://adnodoor.com/nav/
72,21·京东BD研究院,定位于电商消费市场大数据研究,http://www.bigdata21jd.com/,https://adnodoor.com/nav/
73,胡润百富,中国高净值人群垂直类大数据,http://www.hurun.net/,https://adnodoor.com/nav/
74,艾瑞咨询,艾瑞咨询机构网站，提供互联网研究数据,http://www.iresearch.com.cn/,https://adnodoor.com/nav/
75,企鹅智酷,腾讯旗下互联网产业趋势研究、案例与数据分析专业机构,https://re.qq.com/,https://adnodoor.com/nav/
76,VICE中国,青年亚文化，这里有身临现场的体验报道、被忽略的群体、刺激你思考的不同角度、令人不适但真实的社会观察、以及题材多样的纪录片和在线视频,http://www.vice.cn,https://adnodoor.com/nav/
77,虎嗅,关注互联网的商业资讯与观点交流平台,https://www.huxiu.com/,https://adnodoor.com/nav/
78,36氪,提供覆盖全球一级市场的宏观数据分析、政策解读、行业预测、投融资分析等资讯,https://36kr.com/,https://adnodoor.com/nav/
79,互联网的一些事,聚焦互联网前沿资讯，分享产品设计经验、用户体验心得,http://www.yixieshi.com/,https://adnodoor.com/nav/
80,人人都是产品经理,以产品经理、运营为核心的学习、交流、分享平台,http://www.woshipm.com/,https://adnodoor.com/nav/
81,市场部,帮助市场人学习成长和拓展资源,http://www.shichangbu.com/,https://adnodoor.com/nav/
82,好奇心日报,筛选最有价值的信息，全球最有想法、最值得关注的各界动态,http://www.qdaily.com/,https://adnodoor.com/nav/
83,数字尾巴,分享美好数字生活,http://www.dgtle.com/,https://adnodoor.com/nav/
84,鸟哥笔记,移动互联网垂直媒体，帮助从业者高效学习、高效合作,https://www.niaogebiji.com/,https://adnodoor.com/nav/
85,小鸡词典,开放的现代网络流行语词典,https://jikipedia.com/,https://adnodoor.com/nav/
86,演界网,免费及收费PPT模版、keynote模板,http://www.yanj.cn/,https://adnodoor.com/nav/
87,逼格PPT,免费的PPT教程及模板下载网站，质量不错,http://www.tretars.com/,https://adnodoor.com/nav/
88,稻壳儿,WPS旗下模板网站，有大量精美的PPT和简历模板,http://www.docer.com/,https://adnodoor.com/nav/
89,OfficePLUS,微软官方模板商城，包含PPT、Word、Excel模板和图片素材,http://www.officeplus.cn,https://adnodoor.com/nav/
90,吾道,全场免费的PPT工具和模板，还有网友共享作品,https://www.woodo.cn/,https://adnodoor.com/nav/
91,pptstore,高端商务发布会级PPT及keynote模板,https://www.pptstore.net/,https://adnodoor.com/nav/
92,优品PPT,一个有情怀的免费PPT模板下载网站,http://www.ypppt.com/,https://adnodoor.com/nav/
93,HiPPTer,PPT能用到的模板、素材网站导航，比本站全,http://www.hippter.com/,https://adnodoor.com/nav/
94,PPT fans,模板与教程站，免费与收费都有，特色是有一个大学生模板库,http://www.pptfans.cn,https://adnodoor.com/nav/
95,扑奔网,曾经的知名PPT讨论社区，如今转型文档资源分享平台,http://www.pooban.com/,https://adnodoor.com/nav/
96,PPTMind,收费优质模板网站,http://www.pptmind.com/,https://adnodoor.com/nav/
97,字体之家,更干净的字库下载站,http://www.17ziti.com/,https://adnodoor.com/nav/
98,求字体,上传图片可以识别并下载图中字体,http://www.qiuziti.com/,https://adnodoor.com/nav/
99,字由,有字由客户端，为用户提供字体，还分享技巧教程、设计趋势、素材合集,http://www.hellofont.cn/,https://adnodoor.com/nav/
100,Abstract Fonts,知名外文字体下载站,http://www.abstractfonts.com/,https://adnodoor.com/nav/
101,Iconfont,阿里旗下矢量图标管理、交流平台。用户可以自定义下载多种格式的icon,https://www.iconfont.cn/,https://adnodoor.com/nav/
102,easyicon,同时支持中英文搜索的小图标下载站,https://www.easyicon.net/,https://adnodoor.com/nav/
103,IcoMoon,免费矢量小图标库,https://icomoon.io/app/#/select,https://adnodoor.com/nav/
104,WorldVectorLogo,致力提供世界上各种品牌的logo矢量版,https://worldvectorlogo.com/,https://adnodoor.com/nav/
105,Pexels,高质量免费无版权图片,https://www.pexels.com/,https://adnodoor.com/nav/
106,Pixabay,支持中英文搜索的无版权图库,https://pixabay.com/zh/,https://adnodoor.com/nav/
107,泼辣有图,国产网站，摄影人贡献的可作任何用途的高质量图片，有软件,http://www.polayoutu.com/collections,https://adnodoor.com/nav/
108,Unsplash,所有人都可以使用的摄影图片,https://unsplash.com/,https://adnodoor.com/nav/
109,STOCK UP,超过25000张免费素材图片,https://www.sitebuilderreport.com/stock-up,https://adnodoor.com/nav/
110,PhotoPin,免费供博客主和创意者使用的图片搜索引擎,http://photopin.com/,https://adnodoor.com/nav/
111,Gratisography,搜罗各种古怪的、有创意的免费图片,https://gratisography.com/,https://adnodoor.com/nav/
112,LibreStock,一键搜索40多个无版权图库，全部可以免费商用,https://librestock.com/,https://adnodoor.com/nav/
113,mixkit,免费的插画和高清视频素材,https://mixkit.co/,https://adnodoor.com/nav/
114,pngpix,免抠图的透明PNG素材库，免费下载，有的可商用，需注意阅读版权信息,http://www.pngpix.com,https://adnodoor.com/nav/
115,1x,网站有专业的评论家筛选作品。有很多创意摄影大图,https://1x.com,https://adnodoor.com/nav/
116,IPPAWARDS,被誉为“手机影像奥斯卡奖”,https://www.ippawards.com/,https://adnodoor.com/nav/
117,CNU视觉联盟,传播优秀视觉文化，开拓大众审美视野,http://www.cnu.cc/,https://adnodoor.com/nav/
118,Magnum玛格南图片社,大师创办的纪实影像摄影合作社,https://www.magnumphotos.com/,https://adnodoor.com/nav/
119,NATIONAL GEOGRAPHY,国家地理杂志官网，美好的自然摄影,https://www.nationalgeographic.com/,https://adnodoor.com/nav/
120,Models,时尚人像摄影百科全书,https://models.com/,https://adnodoor.com/nav/
121,LFI,LFI是徕卡旗下摄影杂志，每年8次，选出最好的徕卡摄影师,https://lfi-online.de/ceemes/en/gallery/,https://adnodoor.com/nav/
122,POCO,目前国内最大的以原创图片为核心的分享社区,http://photo.poco.cn/,https://adnodoor.com/nav/
123,Behance,需翻墙的Adobe旗下素材网站，汇聚世界设计师各种门类的美术作品,https://www.behance.net/,https://adnodoor.com/nav/
124,Pinterest,需翻墙的图片分享网站，可以搜索并收藏各种设计、摄影、广告等作品,https://www.pinterest.com/,https://adnodoor.com/nav/
125,大作,不翻墙即可搜索国际网站的灵感图片引擎（含Pinterest和Behance）,http://www.bigbigwork.com/,https://adnodoor.com/nav/
126,优设设计师导航,设计师所需要的字体、图片、素材、模板、教程等各种网站导航,https://hao.uisdc.com/,https://adnodoor.com/nav/
127,站酷,聚集了820万+设计师、摄影师、插画师、艺术家、创意人和他们的作品,https://www.zcool.com.cn/,https://adnodoor.com/nav/
128,古田路9号,以设计向品牌创意为主，可以找到品牌相关字体、标志、VIS、画册等作品,http://www.gtn9.com,https://adnodoor.com/nav/
129,YouTube,世界上最大的不存在视频网站，无水印，可自动生成字幕,https://www.youtube.com/,https://adnodoor.com/nav/
130,vimeo,高清无水印视频网站,https://vimeo.com/,https://adnodoor.com/nav/
131,mLook,精校Kindle电子书下载，注册需要邀请码，右转淘宝,https://mlook.mobi/,https://adnodoor.com/nav/
132,书伴,kindle使用技巧交流、图书资源下载,https://bookfere.com/,https://adnodoor.com/nav/
133,鸠摩搜书,电子书搜索引擎,https://www.jiumodiary.com/,https://adnodoor.com/nav/
134,苦瓜书盘,提供适合电纸书阅读的6寸pdf及mobi格式电子书,https://www.kgbook.com/,https://adnodoor.com/nav/
135,我的小书屋,提供小说、杂志、漫画、轻小说电子书下载,http://mebook.cc/,https://adnodoor.com/nav/
136,书格,致力于开放式分享、介绍、推荐有价值的古籍善本，并鼓励将文化艺术作品数字化归档,https://www.shuge.org/,https://adnodoor.com/nav/
137,搜韵,大量诗词歌赋，还有四库全书等古籍的文本,https://sou-yun.cn,https://adnodoor.com/nav/
138,古籍馆,收录6万种古籍书，6.3亿字，实现古籍资源一站式全文检索,https://www.gujiguan.com/,https://adnodoor.com/nav/
139,高清杂志网,各种杂志彩色PDF,http://www.gqzzw.com/,https://adnodoor.com/nav/
140,国学导航,国学书籍分类聚合网站,http://www.guoxue123.com/,https://adnodoor.com/nav/
141,拍电影网剧本专区,经典电影剧本,http://www.pmovie.com/topic/juben/,https://adnodoor.com/nav/
142,vol.moe,大量漫画可在线观看、免费下载,http://vol.moe/,https://adnodoor.com/nav/
143,Library Genesis,外文书免费搜索、下载,http://gen.lib.rus.ec/,https://adnodoor.com/nav/
144,ZLibrary,号称世界上最大的电子书库，zproject网站，可以用ISBN搜书，外文为主,https://b-ok.org/,https://adnodoor.com/nav/
145,智奇搜书,聚合类电子书搜索引擎,https://www.zqbook.top/,https://adnodoor.com/nav/
146,子午书简,免费电子书分享，还提供云盘搜书服务,https://5kindle.com/,https://adnodoor.com/nav/
147,疯狂影视搜索,干净的影视搜索引擎,http://ifkdy.com/,https://adnodoor.com/nav/
148,高清MP4吧,高清MP4电影下载,http://mp4ba.com/,https://adnodoor.com/nav/
149,电影天堂,老牌电影论坛,https://www.dy2018.com/,https://adnodoor.com/nav/
150,胖鸟电影,被封了一次，现在成为影视搜索引擎，不知是否同一家,http://www.pniao5.com/,https://adnodoor.com/nav/
151,飘花电影,老牌电影下载网站,https://www.piaohua.com/,https://adnodoor.com/nav/
152,茶杯狐,简洁优美的电影、动漫、综艺的搜索下载网站,https://www.cupfox.com/,https://adnodoor.com/nav/
153,MVCAT,异常精美的电影资料网站,http://www.mvcat.com/,https://adnodoor.com/nav/
154,西林街搜索,可以搜书、搜影视，完全使用需要开会员,http://www.xilinjie.com/,https://adnodoor.com/nav/
